iter	Passed	Remaining
419	2357	3254
420	2364	3251
421	2371	3248
422	2378	3244
423	2422	3291
424	2430	3288
425	2436	3283
426	2442	3278
427	2447	3270
428	2452	3264
429	2458	3259
430	2462	3251
431	2467	3243
432	2471	3235
433	2476	3229
434	2481	3222
435	2485	3214
436	2490	3208
437	2494	3201
438	2500	3195
439	2505	3189
440	2510	3182
441	2514	3174
442	2518	3166
443	2523	3159
444	2527	3151
445	2531	3144
446	2536	3137
447	2540	3130
448	2544	3123
449	2549	3115
450	2554	3109
451	2558	3102
452	2563	3095
453	2567	3087
454	2572	3081
455	2577	3074
456	2580	3066
457	2586	3060
458	2591	3054
459	2595	3046
460	2599	3039
461	2604	3033
462	2609	3026
463	2614	3019
464	2619	3014
465	2624	3008
466	2629	3001
467	2637	2998
468	2644	2993
469	2650	2989
470	2655	2982
471	2660	2975
472	2664	2968
473	2669	2962
474	2675	2957
475	2681	2952
476	2686	2945
477	2692	2940
478	2700	2936
479	2706	2931
480	2710	2924
481	2716	2918
482	2721	2913
483	2726	2906
484	2731	2900
485	2736	2893
486	2740	2886
487	2747	2882
488	2753	2877
489	2759	2871
490	2764	2866
491	2769	2859
492	2774	2853
493	2779	2847
494	2784	2840
495	2789	2833
496	2795	2828
497	2799	2821
498	2803	2815
499	2809	2809
500	2813	2802
501	2818	2796
502	2823	2789
503	2828	2783
504	2833	2777
505	2837	2770
506	2845	2766
507	2852	2762
508	2857	2756
509	2861	2749
510	2866	2743
511	2870	2736
512	2875	2730
513	2880	2723
514	2884	2716
515	2890	2711
516	2894	2704
517	2899	2697
518	2904	2691
519	2908	2684
520	2913	2678
521	2917	2671
522	2923	2665
523	2927	2659
524	2931	2652
525	2936	2646
526	2941	2639
527	2945	2633
528	2949	2626
529	2954	2619
530	2958	2613
531	2962	2606
532	2966	2599
533	2972	2594
534	2976	2587
535	2980	2580
536	2986	2574
537	2990	2568
538	2994	2561
539	2999	2554
540	3004	2548
541	3009	2543
542	3014	2536
543	3019	2531
544	3024	2524
545	3028	2518
546	3035	2514
547	3040	2507
548	3044	2500
549	3051	2496
550	3058	2492
551	3064	2487
552	3070	2482
553	3076	2476
554	3082	2471
555	3087	2465
556	3093	2460
557	3100	2455
558	3107	2451
559	3113	2446
560	3118	2440
561	3123	2434
562	3129	2429
563	3134	2423
564	3139	2417
565	3147	2413
566	3153	2408
567	3158	2402
568	3163	2396
569	3168	2390
570	3172	2383
571	3178	2378
572	3184	2373
573	3189	2366
574	3194	2360
575	3199	2355
576	3203	2348
577	3208	2342
578	3212	2336
579	3217	2330
580	3222	2323
581	3228	2318
582	3233	2312
583	3239	2307
584	3243	2301
585	3249	2295
586	3253	2289
587	3261	2285
588	3266	2279
589	3270	2272
590	3275	2266
591	3280	2260
592	3284	2254
593	3291	2249
594	3296	2243
595	3300	2237
596	3306	2231
597	3312	2226
598	3317	2220
599	3322	2214
600	3327	2208
601	3331	2202
602	3336	2196
603	3340	2190
604	3345	2184
605	3350	2178
606	3354	2171
607	3358	2165
608	3362	2159
609	3368	2153
610	3373	2147
611	3377	2141
612	3383	2135
613	3387	2129
614	3391	2123
615	3395	2116
616	3400	2110
617	3405	2104
618	3410	2098
619	3414	2093
620	3419	2086
621	3423	2080
622	3427	2074
623	3432	2068
624	3437	2062
625	3441	2056
626	3446	2050
627	3451	2044
628	3455	2038
629	3460	2032
630	3466	2027
631	3473	2022
632	3478	2016
633	3483	2011
634	3488	2005
635	3493	1999
636	3498	1993
637	3503	1988
638	3509	1982
639	3513	1976
640	3517	1970
641	3521	1963
642	3527	1958
643	3531	1952
644	3535	1946
645	3541	1940
646	3547	1935
647	3551	1929
648	3555	1922
649	3578	1926
650	3584	1921
651	3589	1915
652	3594	1909
653	3599	1904
654	3604	1898
655	3609	1892
656	3613	1886
657	3617	1880
658	3622	1874
659	3626	1868
660	3630	1862
661	3634	1855
662	3639	1850
663	3643	1843
664	3648	1837
665	3653	1832
666	3658	1826
667	3662	1820
668	3666	1814
669	3674	1809
670	3679	1804
671	3684	1798
672	3688	1792
673	3694	1787
674	3699	1781
675	3704	1775
676	3707	1769
677	3712	1762
678	3716	1757
679	3721	1751
680	3725	1745
681	3729	1738
682	3734	1733
683	3738	1727
684	3742	1721
685	3746	1715
686	3752	1709
687	3756	1703
688	3760	1697
689	3765	1691
690	3769	1685
691	3773	1679
692	3777	1673
693	3783	1668
694	3788	1662
695	3793	1656
696	3800	1652
697	3804	1646
698	3808	1640
699	3815	1635
700	3819	1629
701	3823	1623
702	3827	1617
703	3832	1611
704	3836	1605
705	3841	1599
706	3846	1594
707	3850	1588
708	3854	1582
709	3861	1577
710	3865	1571
711	3869	1565
712	3875	1559
713	3880	1554
714	3886	1549
715	3892	1543
716	3896	1538
717	3900	1532
718	3904	1526
719	3910	1520
720	3915	1515
721	3919	1509
722	3924	1503
723	3929	1497
724	3933	1491
725	3937	1485
726	3942	1480
727	3947	1474
728	3951	1469
729	3957	1463
730	3962	1457
731	3966	1452
732	3970	1446
733	3976	1440
734	3980	1435
735	3985	1429
736	3991	1424
737	3996	1418
738	4000	1412
739	4006	1407
740	4010	1401
741	4014	1395
742	4019	1390
743	4024	1384
744	4028	1378
745	4032	1372
746	4037	1367
747	4042	1361
748	4046	1355
749	4050	1350
750	4056	1344
751	4060	1339
752	4064	1333
753	4070	1328
754	4077	1323
755	4081	1317
756	4087	1312
757	4091	1306
758	4095	1300
759	4101	1295
760	4105	1289
761	4109	1283
762	4114	1277
763	4119	1272
764	4124	1266
765	4128	1261
766	4133	1255
767	4138	1250
768	4142	1244
769	4148	1239
770	4152	1233
771	4157	1227
772	4163	1222
773	4167	1216
774	4171	1211
775	4175	1205
776	4180	1199
777	4185	1194
778	4189	1188
779	4194	1182
780	4198	1177
781	4202	1171
782	4206	1165
783	4212	1160
784	4217	1155
785	4221	1149
786	4225	1143
787	4229	1138
788	4234	1132
789	4239	1126
790	4245	1121
791	4249	1116
792	4254	1110
793	4259	1105
794	4266	1100
795	4271	1094
796	4277	1089
797	4281	1083
798	4285	1078
799	4291	1072
800	4295	1067
801	4299	1061
802	4303	1055
803	4310	1050
804	4315	1045
805	4319	1039
806	4324	1034
807	4330	1028
808	4334	1023
809	4339	1017
810	4344	1012
811	4348	1006
812	4352	1001
813	4358	995
814	4362	990
815	4366	984
816	4371	979
817	4376	973
818	4381	968
819	4386	962
820	4391	957
821	4395	951
822	4400	946
823	4406	941
824	4411	935
825	4416	930
826	4422	925
827	4427	919
828	4432	914
829	4438	909
830	4442	903
831	4447	898
832	4454	893
833	4461	887
834	4468	883
835	4473	877
836	4478	872
837	4484	866
838	4489	861
839	4494	856
840	4499	850
841	4504	845
842	4509	839
843	4515	834
844	4519	829
845	4524	823
846	4531	818
847	4536	813
848	4541	807
849	4549	802
850	4555	797
851	4562	792
852	4567	787
853	4573	781
854	4580	776
855	4585	771
856	4590	766
857	4597	760
858	4602	755
859	4607	750
860	4613	744
861	4618	739
862	4624	734
863	4629	728
864	4633	723
865	4639	717
866	4644	712
867	4649	707
868	4654	701
869	4664	696
870	4670	691
871	4675	686
872	4680	680
873	4685	675
874	4691	670
875	4695	664
876	4700	659
877	4705	653
878	4710	648
879	4715	642
880	4720	637
881	4725	632
882	4730	626
883	4734	621
884	4739	615
885	4743	610
886	4748	604
887	4753	599
888	4757	594
889	4761	588
890	4771	583
891	4776	578
892	4781	572
893	4787	567
894	4790	562
895	4795	556
896	4799	551
897	4804	545
898	4808	540
899	4813	534
900	4818	529
901	4822	523
902	4827	518
903	4832	513
904	4837	507
905	4842	502
906	4847	497
907	4854	491
908	4859	486
909	4864	481
910	4871	475
911	4875	470
912	4881	465
913	4885	459
914	4889	454
915	4894	448
916	4899	443
917	4903	438
918	4907	432
919	4912	427
920	4918	421
921	4922	416
922	4927	411
923	4931	405
924	4935	400
925	4940	394
926	4946	389
927	4950	384
928	4954	378
929	4960	373
930	4965	367
931	4969	362
932	4974	357
933	4979	351
934	4983	346
935	4988	341
936	4994	335
937	4998	330
938	5003	325
939	5009	319
940	5013	314
941	5017	308
942	5021	303
943	5026	298
944	5032	292
945	5036	287
946	5041	282
947	5045	276
948	5049	271
949	5056	266
950	5061	260
951	5065	255
952	5070	250
953	5075	244
954	5079	239
955	5083	233
956	5088	228
957	5093	223
958	5097	217
959	5104	212
960	5109	207
961	5113	201
962	5118	196
963	5122	191
964	5126	185
965	5131	180
966	5137	175
967	5142	169
968	5146	164
969	5152	159
970	5156	154
971	5160	148
972	5166	143
973	5171	138
974	5175	132
975	5179	127
976	5185	122
977	5190	116
978	5194	111
979	5200	106
980	5205	100
981	5210	95
982	5216	90
983	5221	84
984	5225	79
985	5232	74
986	5237	68
987	5242	63
988	5251	58
989	5258	53
990	5264	47
991	5269	42
992	5275	37
993	5281	31
994	5286	26
995	5291	21
996	5297	15
997	5301	10
998	5306	5
999	5312	0
