iter	RMSE
0	23.92139914
1	23.22746115
2	22.56461742
3	21.89305634
4	21.27962695
5	20.70984428
6	20.21042701
7	19.6673874
8	19.20636172
9	18.60109105
10	18.0512874
11	17.56792407
12	17.04445803
13	16.55904376
14	16.10679322
15	15.62477191
16	15.15376253
17	14.70343968
18	14.30999605
19	13.97514608
20	13.59696486
21	13.21312501
22	12.83162477
23	12.51494523
24	12.20823892
25	11.8828907
26	11.60547132
27	11.30418012
28	10.98695137
29	10.70587378
30	10.43616535
31	10.16527695
32	9.912613456
33	9.640266705
34	9.381311708
35	9.110526439
36	8.870226848
37	8.633766741
38	8.389590345
39	8.15305119
40	7.928081628
41	7.72556099
42	7.488221034
43	7.282649909
44	7.098240947
45	6.905029957
46	6.72042454
47	6.543921899
48	6.390875681
49	6.230463308
50	6.051542262
51	5.888068427
52	5.757005241
53	5.597655026
54	5.456238811
55	5.322005515
56	5.18041297
57	5.053012885
58	4.931131608
59	4.805827535
60	4.686436213
61	4.573963803
62	4.457830878
63	4.348587984
64	4.244875732
65	4.136903569
66	4.038932922
67	3.942010271
68	3.859844978
69	3.771378952
70	3.695627443
71	3.619334831
72	3.547744016
73	3.467221257
74	3.390351628
75	3.325852546
76	3.257784029
77	3.191228303
78	3.121494253
79	3.047579117
80	2.983597156
81	2.92213453
82	2.86799577
83	2.801223467
84	2.742041138
85	2.686818606
86	2.631418924
87	2.586042402
88	2.531864542
89	2.476346353
90	2.432341794
91	2.383010088
92	2.336922039
93	2.298240073
94	2.253931155
95	2.215379524
96	2.17412833
97	2.133324323
98	2.097946615
99	2.062548962
100	2.035250008
101	2.013133694
102	1.979332837
103	1.946727602
104	1.915144883
105	1.891741974
106	1.859664845
107	1.829923481
108	1.802088692
109	1.7746924
110	1.748067006
111	1.720595846
112	1.697314599
113	1.674021452
114	1.648920197
115	1.622934162
116	1.604503753
117	1.583953512
118	1.562740864
119	1.545877771
120	1.530567808
121	1.512759874
122	1.49567336
123	1.48280746
124	1.466661651
125	1.451077812
126	1.434542518
127	1.416184472
128	1.403820991
129	1.387400804
130	1.374638102
131	1.361548648
132	1.347043437
133	1.334989253
134	1.321575663
135	1.311268661
136	1.297067081
137	1.284977728
138	1.274899393
139	1.264020771
140	1.253576849
141	1.243059895
142	1.232726888
143	1.229898859
144	1.220600851
145	1.210933363
146	1.20234979
147	1.196548283
148	1.184705321
149	1.176708381
150	1.169392602
151	1.159429203
152	1.15375797
153	1.145499819
154	1.140395115
155	1.132779146
156	1.125020338
157	1.115884585
158	1.108513334
159	1.100816309
160	1.094212113
161	1.089431819
162	1.087273831
163	1.081639667
164	1.076656061
165	1.06951517
166	1.063157077
167	1.058462831
168	1.052197722
169	1.04724786
170	1.042444624
171	1.040110511
172	1.033587777
173	1.028803646
174	1.026631936
175	1.023195786
176	1.016832031
177	1.015268949
178	1.008927959
179	1.004649868
180	1.000849265
181	0.9969700012
182	0.9915751287
183	0.9847784629
184	0.9827554553
185	0.9792150943
186	0.9757079467
187	0.9729007608
188	0.9710493522
189	0.967994795
190	0.9625613396
191	0.9589274984
192	0.9570502148
193	0.951290318
194	0.9493401596
195	0.9474704736
196	0.944871019
197	0.940730539
198	0.9351997689
199	0.9334535135
200	0.9280047316
201	0.9264271582
202	0.9246485618
203	0.9191463222
204	0.9142583356
205	0.9125756212
206	0.9108958216
207	0.9062237545
208	0.9046069436
209	0.9029329249
210	0.9011471742
211	0.8995417102
212	0.8980086967
213	0.8964170859
214	0.8948446045
215	0.8883305847
216	0.8867596961
217	0.8852077397
218	0.8836682959
219	0.8797687242
220	0.8782099106
221	0.876692344
222	0.8751823833
223	0.8737056797
224	0.8723576684
225	0.8672949795
226	0.8639998134
227	0.8593602745
228	0.8579538544
229	0.8566084043
230	0.8552619416
231	0.8539842649
232	0.8492624744
233	0.8479400321
234	0.8442160944
235	0.8429350261
236	0.8416549284
237	0.8404052077
238	0.8391855761
239	0.8379916947
240	0.8334086694
241	0.8322280777
242	0.8310537806
243	0.8299361094
244	0.8287931546
245	0.8276760912
246	0.8265663656
247	0.8220759941
248	0.8209993995
249	0.8199379616
250	0.8189012553
251	0.814072207
252	0.8130472341
253	0.8120263366
254	0.8075221725
255	0.8064992259
256	0.8055148614
257	0.8045457988
258	0.800047107
259	0.7966150815
260	0.795664717
261	0.7947377261
262	0.7938177674
263	0.7893439778
264	0.7884478543
265	0.7875523809
266	0.783071062
267	0.778575344
268	0.7776812852
269	0.7768239016
270	0.7759693127
271	0.775146737
272	0.7743181928
273	0.7704389013
274	0.7658512643
275	0.762098332
276	0.7612925883
277	0.756844919
278	0.7560530763
279	0.7552586893
280	0.7515691724
281	0.7486263041
282	0.7478816206
283	0.7438064838
284	0.7430643338
285	0.7423345768
286	0.7415969505
287	0.7369720681
288	0.7338633171
289	0.7301386314
290	0.7294410154
291	0.728756104
292	0.7280801373
293	0.7274129704
294	0.7267527275
295	0.726101279
296	0.7219972998
297	0.717906304
298	0.7143515927
299	0.7114786
300	0.7087969047
301	0.7043641501
302	0.7037431302
303	0.6998395334
304	0.6992311249
305	0.696041065
306	0.6923061793
307	0.6917074194
308	0.6911176413
309	0.6877378404
310	0.6871480001
311	0.6839146308
312	0.6813035129
313	0.6779966805
314	0.6752983213
315	0.6747390646
316	0.6718872341
317	0.6694835316
318	0.6673405473
319	0.664802448
320	0.6623119989
321	0.6600189608
322	0.6594679049
323	0.6589406503
324	0.6584075734
325	0.6555310106
326	0.6521137676
327	0.6516015727
328	0.6490002663
329	0.6462800882
330	0.6442338489
331	0.641900159
332	0.6414104385
333	0.6394162668
334	0.6373950089
335	0.6356504391
336	0.6333841794
337	0.6320224519
338	0.6295087984
339	0.6264224341
340	0.6259638275
341	0.6230113442
342	0.6197575825
343	0.6192899457
344	0.6169951186
345	0.6165503773
346	0.616100489
347	0.6156570305
348	0.6140206533
349	0.6117803038
350	0.6089768519
351	0.6062525344
352	0.6045689057
353	0.6017687483
354	0.5995256237
355	0.5969269876
356	0.5950270782
357	0.5920993614
358	0.5901595121
359	0.5873585542
360	0.5855151844
361	0.5838202113
362	0.582304807
363	0.5810989014
364	0.5789843738
365	0.5785921793
366	0.5765302746
367	0.5749919841
368	0.5733377113
