Yearly_Averages,Row_Indices
128.53333333333333,3721
119.35000000000001,3722
154.45833333333334,3723
96.41666666666667,3724
84.375,3725
128.86666666666667,3726
124.35833333333333,3727
99.075,3728
112.43333333333334,3729
126.575,3730
85.0,3731
126.45833333333333,3732
95.38333333333333,3733
137.475,3734
123.34166666666665,3735
181.3166666666667,3736
137.3083333333333,3737
87.51666666666667,3738
120.3,3739
78.175,3740
97.13333333333333,3741
82.78333333333333,3742
100.44166666666666,3743
98.10833333333335,3744
107.11666666666667,3745
94.76666666666665,3746
113.46666666666665,3747
128.04999999999998,3748
99.50833333333333,3749
105.44166666666666,3750
119.86666666666667,3751
134.79166666666666,3752
157.86666666666665,3753
98.425,3754
117.99166666666667,3755
94.10833333333335,3756
92.06666666666666,3757
135.85,3758
108.98333333333335,3759
122.625,3760
88.39166666666667,3761
97.60000000000001,3762
145.975,3763
120.35833333333333,3764
90.64166666666667,3765
134.82500000000002,3766
130.34166666666667,3767
129.66666666666666,3768
127.21666666666665,3769
117.74166666666667,3770
118.06666666666666,3771
104.75833333333333,3772
148.525,3773
113.88333333333333,3774
161.17499999999998,3775
173.15833333333333,3776
139.64166666666665,3777
125.15833333333335,3778
116.40833333333335,3779
115.26666666666665,3780
124.75833333333333,3781
139.83333333333334,3782
130.525,3783
149.96666666666667,3784
105.36666666666666,3785
119.48333333333333,3786
107.52500000000002,3787
121.05833333333332,3788
121.53333333333335,3789
131.75,3790
101.94166666666666,3791
83.225,3792
125.125,3793
136.20000000000002,3794
181.6,3795
93.55833333333332,3796
141.65,3797
150.76666666666665,3798
160.36666666666667,3799
115.27499999999999,3800
145.69166666666666,3801
113.55833333333332,3802
129.64166666666665,3803
102.99166666666667,3804
83.28333333333333,3805
102.48333333333333,3806
124.50833333333333,3807
132.475,3808
112.69166666666666,3809
119.43333333333332,3810
119.98333333333333,3811
111.38333333333333,3812
121.96666666666665,3813
106.825,3814
108.03333333333335,3815
135.29999999999998,3816
182.25,3817
142.09166666666667,3818
110.13333333333333,3819
118.70833333333333,3820
99.48333333333333,3821
88.09166666666665,3822
78.89166666666667,3823
106.76666666666667,3824
134.10833333333332,3825
108.42500000000001,3826
138.5,3827
118.69999999999999,3828
152.21666666666667,3829
141.39166666666668,3830
109.15000000000002,3831
94.925,3832
120.45,3833
126.125,3834
91.78333333333335,3835
104.14166666666667,3836
123.26666666666665,3837
